,group,group_id,name,homepage,description,category,projectrank,show,commit_count,recent_commit_count,star_count,monthly_downloads,fork_count,watchers_count,release_count,pr_count,open_issue_count,closed_issue_count,dependent_project_count,contributor_count,created_at,updated_at,last_commit_pushed_at,latest_stable_release_published_at,projectrank_placing,new_addition,labels,github_id,npm_id,github_url,license,latest_stable_release_number,github_dependent_project_count,npm_url,npm_latest_release_published_at,npm_monthly_downloads,go_id,maven_id,github_release_downloads,maven_url,maven_latest_release_published_at,go_url,go_latest_release_published_at,go_dependent_project_count,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,pypi_id,conda_id,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,npm_dependent_project_count,maven_dependent_project_count
0,True,eth,ETH - Ethereum,https://github.com/ethereum,A decentralized platform for applications.,smart-contract-platform,49,True,135188.0,1298.0,108180.0,3761407.333333333,36432.0,8359.0,2107.0,38375.0,4260.0,23829.0,28455.0,3673.0,2013-12-26 13:05:46.000,2022-01-08 20:50:21.000,2022-01-08 17:09:40.000,2022-01-06 18:27:05.000,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,True,sol,SOL - Solana,https://github.com/solana-labs,High-Performance Blockchain.,smart-contract-platform,43,True,41101.0,11871.0,12756.0,1418503.3333333335,9906.0,792.0,1594.0,38282.0,4004.0,4089.0,10998.0,4915.0,2018-02-14 04:26:27.000,2022-01-08 21:36:43.000,2022-01-08 21:36:06.000,2022-01-08 20:32:11.317,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,True,uni,UNI - Uniswap,https://github.com/Uniswap,"Uni is the governance token for uniswap, an automated market market dex on the ethereum blockchain. the uni token..",amm,41,True,10377.0,624.0,11761.0,983072.0,10495.0,913.0,288.0,3306.0,2138.0,2802.0,31829.0,545.0,2017-10-29 05:09:58.000,2022-01-08 11:00:28.000,2022-01-08 11:00:27.000,2022-01-06 12:11:56.000,1.0,True,['eth'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,True,atom,ATOM - Cosmos,https://github.com/cosmos,A network of distributed ledgers.,cryptocurrency,40,True,34007.0,637.0,8549.0,74911.33333333334,4112.0,956.0,625.0,15135.0,1513.0,8860.0,5764.0,1424.0,2010-03-23 17:05:00.000,2022-01-08 18:00:15.000,2022-01-08 18:00:15.000,2022-01-05 17:02:25.000,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,True,stx,STX - Stacks,https://github.com/blockstack,Blockstack is a new internet for decentralized apps where users own their data.,web3,39,True,37133.0,658.0,8690.0,161218.0,2252.0,1034.0,619.0,5602.0,1520.0,9324.0,5395.0,670.0,2013-12-21 19:10:25.000,2022-01-08 19:21:26.000,2022-01-08 19:21:25.000,2022-01-08 19:21:27.000,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,True,eos,EOS - EOS,https://github.com/eosio,EOS claims to be the most powerful infrastructure for decentralized applications.,smart-contract-platform,37,True,32948.0,6.0,18105.0,1231118.0,7849.0,2485.0,740.0,9960.0,943.0,6226.0,11369.0,795.0,2017-04-05 17:09:53.000,2022-01-08 03:19:46.000,2021-12-16 18:41:38.000,2021-08-24 18:22:18.000,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,True,miota,MIOTA - IOTA,https://github.com/iotaledger,IOTA is a distributed ledger for the Internet of Things.,iot,37,True,34528.0,508.0,8045.0,94560.0,2206.0,1100.0,644.0,11174.0,1951.0,5277.0,1059.0,658.0,2016-07-20 15:44:50.000,2022-01-08 19:05:54.000,2022-01-07 14:45:00.000,2022-01-02 21:18:44.000,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,True,xlm,XLM - Stellar,https://github.com/stellar,"The stellar network is an open source, distributed, and community owned network used to facilitate cross-asset..",cryptocurrency,37,True,22366.0,414.0,7596.0,261501.3333333333,3190.0,998.0,716.0,9697.0,1300.0,5035.0,4763.0,788.0,2014-04-23 20:29:36.000,2022-01-07 23:41:52.000,2022-01-07 19:20:40.000,2022-01-03 18:52:08.000,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,True,fil,FIL - Filecoin,https://github.com/filecoin-project,The filecoin network achieves staggering economies of scale by allowing anyone worldwide to participate as storage..,web3,37,True,32745.0,1237.0,6555.0,82817.33333333331,2925.0,1031.0,1616.0,12826.0,1971.0,7363.0,1253.0,824.0,2017-12-05 18:41:10.000,2022-01-08 10:27:50.000,2022-01-07 22:58:11.000,2022-01-04 11:16:11.000,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,True,lbc,LBC - LBRY Credits,https://github.com/lbryio,Decentralized digital content distribution protocol and a marketplace for the same. it supports a variety of content..,others,36,True,48503.0,341.0,19122.0,893152.0,1491.0,471.0,397.0,8119.0,1453.0,6189.0,11.0,1353.0,2015-08-20 15:24:10.000,2022-01-08 03:56:37.000,2022-01-08 03:56:36.000,2021-12-31 17:36:14.000,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
