,group,group_id,name,homepage,description,category,projectrank,show,commit_count,recent_commit_count,star_count,monthly_downloads,fork_count,watchers_count,release_count,pr_count,open_issue_count,closed_issue_count,dependent_project_count,contributor_count,created_at,updated_at,last_commit_pushed_at,latest_stable_release_published_at,projectrank_placing,labels,trending,github_id,npm_id,github_url,license,latest_stable_release_number,github_dependent_project_count,npm_url,npm_latest_release_published_at,npm_monthly_downloads,go_id,maven_id,github_release_downloads,maven_url,maven_latest_release_published_at,go_url,go_latest_release_published_at,go_dependent_project_count,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,pypi_id,conda_id,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,npm_dependent_project_count,maven_dependent_project_count
0,True,eth,ETH - Ethereum,https://github.com/ethereum,A decentralized platform for applications.,smart-contract-platform,49,True,136069,1281.0,108257,3683627.333333333,36443.0,8408,2108.0,38777.0,4266.0,23853.0,28464.0,3762.0,2013-12-26 13:05:46.000,2022-01-09 09:20:27.000,2022-01-09 01:14:21.000,2022-01-06 18:27:05.000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,True,sol,SOL - Solana,https://github.com/solana-labs,High-Performance Blockchain.,smart-contract-platform,43,True,41170,11891.0,12777,1392975.3333333333,9948.0,792,1607.0,38376.0,4021.0,4095.0,11045.0,4951.0,2018-02-14 04:26:27.000,2022-01-09 11:24:04.000,2022-01-09 10:34:02.000,2022-01-09 10:34:15.168,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,True,uni,UNI - Uniswap,https://github.com/Uniswap,"Uni is the governance token for uniswap, an automated market market dex on the ethereum blockchain. the uni token..",amm,41,True,10378,615.0,11773,976304.0,10501.0,913,288.0,3307.0,2138.0,2802.0,31877.0,545.0,2017-10-29 05:09:58.000,2022-01-08 22:36:19.000,2022-01-08 22:36:18.000,2022-01-06 12:11:56.000,1,['eth'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,True,atom,ATOM - Cosmos,https://github.com/cosmos,A network of distributed ledgers.,cryptocurrency,40,True,34230,693.0,8557,72561.33333333334,4113.0,976,625.0,15530.0,1514.0,9029.0,6289.0,1424.0,2010-03-23 17:05:00.000,2022-01-09 05:48:10.000,2022-01-09 05:06:57.000,2022-01-05 17:02:25.000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,True,stx,STX - Stacks,https://github.com/blockstack,Blockstack is a new internet for decentralized apps where users own their data.,web3,39,True,37133,651.0,8690,155688.0,2252.0,1034,619.0,5604.0,1520.0,9324.0,5395.0,670.0,2013-12-21 19:10:25.000,2022-01-09 08:30:36.000,2022-01-08 19:21:25.000,2022-01-08 19:21:27.000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,True,xch,XCH - Chia,https://github.com/Chia-Network,"Founded by bram cohen, the inventor of the bittorrent network, chia network is building a better blockchain and smart..",smart-contract-platform,38,True,13354,569.0,11986,595681.3333333333,3098.0,854,348.0,4395.0,443.0,4217.0,1065.0,443.0,2017-12-16 02:08:28.000,2022-01-09 08:39:45.000,2022-01-09 02:20:24.000,2022-01-09 02:53:03.000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,True,eos,EOS - EOS,https://github.com/eosio,EOS claims to be the most powerful infrastructure for decentralized applications.,smart-contract-platform,37,True,32948,6.0,18105,1203738.0,7849.0,2484,740.0,9960.0,943.0,6226.0,11370.0,795.0,2017-04-05 17:09:53.000,2022-01-08 23:41:02.000,2021-12-16 18:41:38.000,2021-08-24 18:22:18.000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,True,miota,MIOTA - IOTA,https://github.com/iotaledger,IOTA is a distributed ledger for the Internet of Things.,iot,37,True,34528,491.0,8045,93919.33333333334,2206.0,1101,644.0,11174.0,1951.0,5277.0,1059.0,658.0,2016-07-20 15:44:50.000,2022-01-08 19:05:54.000,2022-01-07 14:45:00.000,2022-01-02 21:18:44.000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,True,xlm,XLM - Stellar,https://github.com/stellar,"The stellar network is an open source, distributed, and community owned network used to facilitate cross-asset..",cryptocurrency,37,True,22366,411.0,7597,250155.3333333333,3191.0,998,716.0,9697.0,1299.0,5036.0,4763.0,788.0,2014-04-23 20:29:36.000,2022-01-07 23:41:52.000,2022-01-07 19:20:40.000,2022-01-03 18:52:08.000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,True,fil,FIL - Filecoin,https://github.com/filecoin-project,The filecoin network achieves staggering economies of scale by allowing anyone worldwide to participate as storage..,web3,37,True,32745,1189.0,6556,82401.33333333334,2925.0,1031,1616.0,12828.0,1971.0,7363.0,1253.0,824.0,2017-12-05 18:41:10.000,2022-01-09 10:30:05.000,2022-01-07 22:58:11.000,2022-01-04 11:16:11.000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
