,group,group_id,name,homepage,description,category,projectrank,show,commit_count,recent_commit_count,star_count,fork_count,watchers_count,release_count,pr_count,closed_issue_count,dependent_project_count,contributor_count,created_at,updated_at,last_commit_pushed_at,latest_stable_release_published_at,open_issue_count,monthly_downloads,projectrank_placing,new_addition,trending,labels,github_id,npm_id,maven_id,github_url,license,latest_stable_release_number,github_dependent_project_count,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,maven_url,maven_latest_release_published_at,go_id,github_release_downloads,go_url,go_latest_release_published_at,go_dependent_project_count,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,maven_dependent_project_count,conda_id,pypi_dependent_project_count,conda_url,conda_latest_release_published_at,conda_total_downloads
0,True,pag,PAG,https://github.com/github,No description.,others,50,True,118807.0,3304.0,196967.0,90943.0,8543.0,432.0,22112.0,5568.0,2105150.0,4647.0,2009-04-25 00:05:19.000,2022-01-11 16:18:20.000,2022-01-11 16:18:18.000,2021-12-15 14:06:16.000,1269.0,164940.0,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,True,eth,ETH - Ethereum,https://github.com/ethereum,Decentralized platform for applications. Applications build on it can use smart contracts - computer algorithms which..,smart-contract-platform,50,True,147912.0,1478.0,116290.0,38810.0,8916.0,2500.0,41620.0,25708.0,206154.0,4284.0,2013-12-26 13:05:46.000,2022-01-11 14:59:33.000,2022-01-11 09:39:04.000,2022-01-09 12:43:50.000,4698.0,19613907.333333332,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,True,btc,BTC - Bitcoin,https://github.com/bitcoin,"Cryptocurrency and worldwide payment system. It is the first decentralized digital currency, as the system works..",cryptocurrency,48,True,50462.0,1458.0,83630.0,42064.0,5757.0,733.0,22049.0,8811.0,266499.0,1972.0,2010-12-19 15:16:43.000,2022-01-11 14:58:21.000,2022-01-11 10:11:00.000,2022-01-06 03:01:36.430,1919.0,9348983.333333332,1,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,True,xnn,XNN - Xenon,https://github.com/vmware,The Xenon Coin Network aims to improve the shortcomings of the EOS project. The team behind the Xenon Network believes..,others,43,True,49355.0,1002.0,22126.0,6945.0,2135.0,1687.0,21922.0,13901.0,6424.0,1771.0,2013-05-23 10:45:43.000,2022-01-11 16:08:09.000,2022-01-11 16:08:08.000,2022-01-10 15:51:19.420,3641.0,2166906.0,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,True,sol,SOL - Solana,https://github.com/solana-labs,"Public blockchain. It is open-source and decentralised, and achieves consensus using a proof-of-stake algorithm..",smart-contract-platform,43,True,41495.0,12026.0,12963.0,10123.0,794.0,1667.0,38782.0,4128.0,11235.0,5072.0,2018-02-14 04:26:27.000,2022-01-11 15:13:04.000,2022-01-11 14:34:44.000,2022-01-11 14:34:54.304,4108.0,1403985.9999999998,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,True,atom,ATOM - Cosmos,https://github.com/cosmos,"Decentralized network of independent parallel blockchains, each powered by BFT consensus algorithms like Tendermint..",cryptocurrency,42,True,48157.0,1112.0,14806.0,6239.0,1487.0,1655.0,23008.0,13077.0,17859.0,1946.0,2010-03-23 17:05:00.000,2022-01-11 16:12:51.000,2022-01-11 14:37:38.000,2022-01-10 20:57:36.232,2339.0,53818.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,True,uni,UNI - Uniswap,https://github.com/Uniswap,"Governance token for Uniswap, an Automated Market Market DEX on the Ethereum blockchain. The UNI token allows token..",amm,41,True,10265.0,591.0,11789.0,10506.0,907.0,290.0,3298.0,2820.0,32161.0,535.0,2017-10-29 05:09:58.000,2022-01-11 15:12:39.000,2022-01-11 15:11:49.000,2022-01-11 12:10:52.000,2138.0,990856.0,1,,,['eth'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,True,eeat,EEAT - eEat,https://github.com/openzeppelin,EEat looks to expand the cryptocurrency payment options while driving mass adoption in the hospitality industry. eEat..,others,40,True,8075.0,543.0,19423.0,9044.0,924.0,350.0,4131.0,2418.0,44646.0,802.0,2016-08-01 20:54:54.000,2022-01-11 08:24:56.000,2022-01-10 23:10:25.000,2022-01-09 14:59:23.000,730.0,988164.0,1,True,,['bsc'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,True,stx,STX - Stacks,https://github.com/blockstack,New decentralized internet where users own their data and apps run locally. A browser portal is all thats needed to..,web3,39,True,36723.0,642.0,8597.0,2223.0,980.0,619.0,5567.0,9123.0,5396.0,656.0,2013-12-21 19:10:25.000,2022-01-11 16:13:21.000,2022-01-08 19:21:25.000,2022-01-08 19:21:27.000,1427.0,157930.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,True,xch,XCH - Chia,https://github.com/Chia-Network,"Founded by Bram Cohen, the inventor of the BitTorrent network, Chia Network is building a better blockchain and smart..",smart-contract-platform,38,True,13368.0,570.0,11990.0,3100.0,852.0,348.0,4412.0,4220.0,1069.0,443.0,2017-12-16 02:08:28.000,2022-01-11 15:45:20.000,2022-01-11 05:02:23.000,2022-01-09 02:53:03.000,445.0,613473.3333333333,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,True,eos,EOS - EOS,https://github.com/eosio,Cryptocurrency token and blockchain that operates as a smart contract platform for the deployment of decentralized..,smart-contract-platform,37,True,32805.0,6.0,18074.0,7851.0,2446.0,740.0,9947.0,6223.0,11384.0,788.0,2017-04-05 17:09:53.000,2022-01-11 10:58:44.000,2021-12-16 18:41:38.000,2021-08-24 18:22:18.000,937.0,1176864.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,True,xlm,XLM - Stellar,https://github.com/stellar,Open platform for building financial products that connect people everywhere. Stellar blockchain enables near instant..,cryptocurrency,37,True,22381.0,396.0,7604.0,3192.0,998.0,717.0,9708.0,5040.0,4773.0,788.0,2014-04-23 20:29:36.000,2022-01-11 14:00:03.000,2022-01-11 01:05:29.000,2022-01-11 04:07:10.000,1298.0,241242.6666666667,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,True,fil,FIL - Filecoin,https://github.com/filecoin-project,The Filecoin network achieves staggering economies of scale by allowing anyone worldwide to participate as storage..,web3,37,True,32819.0,1195.0,6559.0,2939.0,1032.0,1621.0,12857.0,7379.0,1255.0,824.0,2017-12-05 18:41:10.000,2022-01-11 14:31:11.000,2022-01-11 01:54:44.000,2022-01-10 19:27:51.000,1975.0,90735.33333333331,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,True,lbc,LBC - LBRY Credits,https://github.com/lbryio,"Meet LBRY, a content sharing and publishing platform that is decentralized and owned by its users.",exchange-tokens,36,True,48509.0,341.0,19121.0,1490.0,472.0,397.0,8121.0,6191.0,11.0,1355.0,2015-08-20 15:24:10.000,2022-01-10 17:50:46.000,2022-01-10 17:50:46.000,2021-12-31 17:36:14.000,1453.0,897156.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,True,miota,MIOTA - IOTA,https://github.com/iotaledger,"Open-source distributed data logging technology, which aims to securely enable the exchange of information and value..",iot,36,True,33426.0,477.0,7893.0,2135.0,1059.0,643.0,10238.0,4817.0,1059.0,629.0,2016-07-20 15:44:50.000,2022-01-11 16:19:43.000,2022-01-11 15:53:35.000,2022-01-10 18:55:23.000,1838.0,93668.66666666666,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,True,dot,DOT - Polkadot,https://github.com/paritytech,Network protocol that allows arbitrary datanot just tokensto be transferred across blockchains. This means Polkadot is..,smart-contract-platform,36,True,7688.0,343.0,7250.0,1617.0,684.0,325.0,4979.0,1738.0,923.0,383.0,2016-08-15 09:30:15.000,2022-01-11 16:04:02.000,2022-01-11 14:00:50.000,2021-12-10 18:19:21.000,673.0,899062.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,True,trx,TRX - TRON,https://github.com/tronprotocol,TRON: Decentralize the Web TRON is dedicated to building the infrastructure for a truly decentralized Internet. The..,smart-contract-platform,36,True,27816.0,262.0,4269.0,2366.0,596.0,320.0,4801.0,1506.0,1869.0,595.0,2017-12-26 10:20:38.000,2022-01-11 03:59:18.000,2022-01-06 09:13:53.000,2021-12-17 15:45:06.000,128.0,121898.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
