,group,group_id,name,homepage,description,category,projectrank,show,commit_count,recent_commit_count,star_count,monthly_downloads,fork_count,watchers_count,release_count,pr_count,open_issue_count,closed_issue_count,dependent_project_count,contributor_count,created_at,updated_at,last_commit_pushed_at,latest_stable_release_published_at,projectrank_placing,labels,trending,new_addition,github_id,maven_id,npm_id,github_url,license,latest_stable_release_number,github_dependent_project_count,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,maven_url,maven_latest_release_published_at,go_id,github_release_downloads,go_url,go_latest_release_published_at,go_dependent_project_count,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,maven_dependent_project_count,conda_id,pypi_dependent_project_count,conda_url,conda_latest_release_published_at,conda_total_downloads
0,True,eth,ETH - Ethereum,https://github.com/ethereum,Decentralized platform for applications. Applications build on it can use smart contracts - computer algorithms which..,smart-contract-platform,50,True,168230.0,2022.0,137200.0,21285287.333333336,48155.0,9882.0,2883.0,46016.0,5529.0,28335.0,251871.0,5313.0,2013-12-26 13:05:46.000,2022-01-12 13:50:06.000,2022-01-12 10:09:10.000,2022-01-11 23:15:49.000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,True,btc,BTC - Bitcoin,https://github.com/bitcoin,"Cryptocurrency and worldwide payment system. It is the first decentralized digital currency, as the system works..",cryptocurrency,49,True,95949.0,1943.0,88367.0,9674424.666666668,43446.0,6262.0,950.0,26367.0,2460.0,10929.0,268021.0,3270.0,2010-12-19 15:16:43.000,2022-01-12 13:17:29.000,2022-01-12 12:59:24.000,2022-01-06 03:01:36.430,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,True,sol,SOL - Solana,https://github.com/solana-labs,"Public blockchain. It is open-source and decentralised, and achieves consensus using a proof-of-stake algorithm..",smart-contract-platform,43,True,41651.0,12092.0,13002.0,1441299.3333333333,10180.0,793.0,1696.0,38956.0,4130.0,4146.0,11363.0,5129.0,2018-02-14 04:26:27.000,2022-01-12 13:54:45.000,2022-01-12 13:36:02.000,2022-01-12 13:36:16.107,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,True,atom,ATOM - Cosmos,https://github.com/cosmos,"Decentralized network of independent parallel blockchains, each powered by BFT consensus algorithms like Tendermint..",cryptocurrency,42,True,48172.0,1113.0,14824.0,55311.33333333333,6240.0,1488.0,1658.0,23028.0,2342.0,13083.0,17954.0,1947.0,2010-03-23 17:05:00.000,2022-01-12 14:01:33.000,2022-01-12 13:55:31.000,2022-01-10 20:57:36.097,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,True,uni,UNI - Uniswap,https://github.com/Uniswap,"Governance token for Uniswap, an Automated Market Market DEX on the Ethereum blockchain. The UNI token allows token..",amm,41,True,10280.0,595.0,11815.0,1017988.0,10515.0,906.0,335.0,3306.0,2139.0,2824.0,32357.0,536.0,2017-10-29 05:09:58.000,2022-01-12 13:27:59.000,2022-01-12 13:27:59.000,2022-01-11 20:37:07.000,1,['eth'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,True,stx,STX - Stacks,https://github.com/blockstack,New decentralized internet where users own their data and apps run locally. A browser portal is all thats needed to..,web3,39,True,36745.0,663.0,8599.0,164310.0,2224.0,979.0,625.0,5573.0,1432.0,9125.0,5399.0,657.0,2013-12-21 19:10:25.000,2022-01-12 12:46:46.000,2022-01-12 03:17:00.000,2022-01-11 20:59:11.000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,True,xch,XCH - Chia,https://github.com/Chia-Network,"Founded by Bram Cohen, the inventor of the BitTorrent network, Chia Network is building a better blockchain and smart..",smart-contract-platform,38,True,13403.0,602.0,11996.0,631508.6666666667,3105.0,851.0,349.0,4431.0,440.0,4220.0,1072.0,444.0,2017-12-16 02:08:28.000,2022-01-12 14:28:26.000,2022-01-12 06:40:57.000,2022-01-11 19:23:38.253,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,True,eos,EOS - EOS,https://github.com/eosio,Cryptocurrency token and blockchain that operates as a smart contract platform for the deployment of decentralized..,smart-contract-platform,37,True,32805.0,6.0,18075.0,1175830.0,7852.0,2444.0,740.0,9949.0,937.0,6223.0,11400.0,788.0,2017-04-05 17:09:53.000,2022-01-12 04:33:45.000,2021-12-16 18:41:38.000,2021-08-24 18:22:18.000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,True,xlm,XLM - Stellar,https://github.com/stellar,Open platform for building financial products that connect people everywhere. Stellar blockchain enables near instant..,cryptocurrency,37,True,22402.0,409.0,7604.0,239720.6666666667,3195.0,999.0,719.0,9720.0,1293.0,5047.0,4788.0,788.0,2014-04-23 20:29:36.000,2022-01-12 11:05:41.000,2022-01-12 00:45:28.000,2022-01-11 22:06:12.053,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,True,fil,FIL - Filecoin,https://github.com/filecoin-project,The Filecoin network achieves staggering economies of scale by allowing anyone worldwide to participate as storage..,web3,37,True,32849.0,1206.0,6560.0,92456.0,2938.0,1029.0,1628.0,12871.0,1970.0,7383.0,1260.0,824.0,2017-12-05 18:41:10.000,2022-01-12 14:07:01.000,2022-01-12 13:33:35.000,2022-01-11 18:58:32.640,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,True,lbc,LBC - LBRY Credits,https://github.com/lbryio,"Meet LBRY, a content sharing and publishing platform that is decentralized and owned by its users.",exchange-tokens,36,True,48514.0,346.0,19112.0,898588.0,1490.0,472.0,397.0,8121.0,1453.0,6192.0,11.0,1355.0,2015-08-20 15:24:10.000,2022-01-12 02:06:55.000,2022-01-12 02:06:50.000,2021-12-31 17:36:14.000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,True,miota,MIOTA - IOTA,https://github.com/iotaledger,"Open-source distributed data logging technology, which aims to securely enable the exchange of information and value..",iot,36,True,33431.0,479.0,7892.0,94132.66666666666,2136.0,1057.0,645.0,10248.0,1835.0,4823.0,1061.0,629.0,2016-07-20 15:44:50.000,2022-01-12 14:25:51.000,2022-01-12 13:15:32.000,2022-01-10 18:55:23.000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,True,trx,TRX - TRON,https://github.com/tronprotocol,TRON: Decentralize the Web TRON is dedicated to building the infrastructure for a truly decentralized Internet. The..,smart-contract-platform,36,True,27834.0,261.0,4277.0,127228.0,2366.0,596.0,321.0,4803.0,128.0,1506.0,1871.0,596.0,2017-12-26 10:20:38.000,2022-01-12 07:23:39.763,2022-01-12 07:15:50.000,2022-01-12 07:23:39.763,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,True,srm,SRM - Serum,https://github.com/project-serum,Worlds first completely decentralized derivatives exchange with trustless cross-chain trading.,exchange-tokens,36,True,2491.0,197.0,3838.0,778997.3333333333,1930.0,188.0,277.0,1386.0,789.0,488.0,5772.0,278.0,2020-08-05 09:14:17.000,2022-01-12 09:45:47.000,2022-01-12 01:39:13.000,2022-01-09 21:50:59.000,1,['eth'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,True,ant,ANT - Aragon,https://github.com/aragon,Aragon was born to bring transparency and independent governance to the forefront of managing an organization. We want..,web3,36,True,10425.0,283.0,3590.0,17714.0,1408.0,500.0,613.0,6758.0,743.0,2562.0,4655.0,540.0,2017-03-01 15:45:32.000,2022-01-11 10:13:32.000,2022-01-11 10:13:32.000,2021-12-28 15:35:42.000,1,['eth'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,True,ens,ENS - Ethereum Name Service,https://github.com/ensdomains,"The Ethereum Name Service (ENS) is a distributed, open, and extensible naming system based on the Ethereum blockchain...",metaverse,36,True,5439.0,354.0,1877.0,670924.0,1000.0,191.0,146.0,2135.0,364.0,887.0,39838.0,261.0,2016-05-29 11:31:55.000,2022-01-12 05:57:34.000,2022-01-12 05:55:08.000,2021-12-21 02:12:59.739,1,['eth'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
