,group,group_id,name,homepage,description,category,projectrank,show,commit_count,recent_commit_count,star_count,monthly_downloads,fork_count,watchers_count,release_count,pr_count,open_issue_count,closed_issue_count,dependent_project_count,contributor_count,created_at,updated_at,last_commit_pushed_at,latest_stable_release_published_at,projectrank_placing,trending,labels,new_addition,github_id,npm_id,maven_id,github_url,license,latest_stable_release_number,github_dependent_project_count,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,maven_url,maven_latest_release_published_at,go_id,github_release_downloads,go_url,go_latest_release_published_at,go_dependent_project_count,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,maven_dependent_project_count,conda_id,pypi_dependent_project_count,conda_url,conda_latest_release_published_at,conda_total_downloads,updated_github_id
0,True,eth,ETH - Ethereum,https://github.com/ethereum,Decentralized platform for applications. Applications build on it can use smart contracts - computer algorithms which..,smart-contract-platform,50,True,205260.0,2540.0,162624.0,22927422.0,55057.0,11807.0,3687.0,54618.0,6275.0,32598.0,287320.0,6772.0,2013-12-26 13:05:46.000,2022-01-19 18:05:13.000,2022-01-19 18:05:10.000,2022-01-16 19:40:22.000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,True,btc,BTC - Bitcoin,https://github.com/bitcoin,"Cryptocurrency and worldwide payment system. It is the first decentralized digital currency, as the system works..",cryptocurrency,49,True,96027.0,1840.0,88757.0,9979095.333333334,43463.0,6268.0,954.0,26412.0,2462.0,10952.0,276524.0,3275.0,2010-12-19 15:16:43.000,2022-01-19 16:58:16.000,2022-01-19 14:31:58.000,2022-01-18 03:00:16.379,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,True,dot,DOT - Polkadot,https://github.com/paritytech,Network protocol that allows arbitrary datanot just tokensto be transferred across blockchains. This means Polkadot is..,smart-contract-platform,44,True,46731.0,4041.0,11607.0,1934842.666666667,5338.0,1216.0,7391.0,22417.0,1052.0,7345.0,19531.0,1763.0,2016-08-15 09:30:15.000,2022-01-19 19:29:47.000,2022-01-19 16:31:25.000,2022-01-19 13:24:39.818,1,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,True,sol,SOL - Solana,https://github.com/solana-labs,"Public blockchain. It is open-source and decentralised, and achieves consensus using a proof-of-stake algorithm..",smart-contract-platform,43,True,42657.0,12521.0,13321.0,1460294.0000000002,10819.0,804.0,1891.0,40117.0,4395.0,4210.0,12067.0,5524.0,2018-02-14 04:26:27.000,2022-01-19 18:10:07.000,2022-01-19 18:10:02.000,2022-01-19 16:39:29.022,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,True,atom,ATOM - Cosmos,https://github.com/cosmos,"Decentralized network of independent parallel blockchains, each powered by BFT consensus algorithms like Tendermint..",cryptocurrency,42,True,48357.0,1181.0,14999.0,58645.33333333333,6281.0,1515.0,1690.0,23226.0,2325.0,13189.0,18466.0,1969.0,2010-03-23 17:05:00.000,2022-01-19 18:16:04.000,2022-01-19 18:10:12.000,2022-01-19 11:15:50.000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,True,uni,UNI - Uniswap,https://github.com/Uniswap,"Governance token for Uniswap, an Automated Market Market DEX on the Ethereum blockchain. The UNI token allows token..",amm,41,True,10312.0,599.0,11964.0,1065012.0,10607.0,904.0,341.0,3341.0,2159.0,2837.0,33471.0,539.0,2017-10-29 05:09:58.000,2022-01-19 18:17:11.000,2022-01-19 16:11:52.000,2022-01-19 12:10:53.000,1,,['eth'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,True,stx,STX - Stacks,https://github.com/blockstack,New decentralized internet where users own their data and apps run locally. A browser portal is all thats needed to..,web3,39,True,36856.0,704.0,8614.0,177830.0,2229.0,984.0,633.0,5602.0,1446.0,9137.0,5416.0,658.0,2013-12-21 19:10:25.000,2022-01-19 19:13:30.000,2022-01-19 18:08:06.000,2022-01-18 18:55:49.000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,True,near,NEAR - Near,https://github.com/near,"Sharded, developer-friendly, proof-of-stake public blockchain, built by a world-class team that has built some of the..",smart-contract-platform,39,True,21478.0,1430.0,3455.0,924638.0,1255.0,505.0,460.0,11937.0,1734.0,4002.0,11008.0,778.0,2018-10-02 22:30:39.000,2022-01-19 18:46:35.000,2022-01-19 18:45:57.000,2022-01-18 08:19:22.000,1,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,True,eos,EOS - EOS,https://github.com/eosio,Cryptocurrency token and blockchain that operates as a smart contract platform for the deployment of decentralized..,smart-contract-platform,38,True,32812.0,13.0,18084.0,1037902.0,7857.0,2442.0,740.0,9967.0,937.0,6224.0,11440.0,789.0,2017-04-05 17:09:53.000,2022-01-19 18:07:12.000,2022-01-13 18:10:57.000,2021-08-24 18:22:18.000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,True,xch,XCH - Chia,https://github.com/Chia-Network,"Founded by Bram Cohen, the inventor of the BitTorrent network, Chia Network is building a better blockchain and smart..",smart-contract-platform,38,True,13442.0,597.0,12018.0,664178.0,3118.0,843.0,349.0,4509.0,438.0,4245.0,1090.0,445.0,2017-12-16 02:08:28.000,2022-01-19 18:54:27.000,2022-01-19 04:17:44.000,2022-01-11 19:23:38.253,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
