,group,group_id,name,homepage,description,category,projectrank,show,commit_count,recent_commit_count,star_count,monthly_downloads,fork_count,watchers_count,release_count,pr_count,open_issue_count,closed_issue_count,dependent_project_count,contributor_count,created_at,updated_at,last_commit_pushed_at,latest_stable_release_published_at,projectrank_placing,labels,trending,github_id,npm_id,maven_id,github_url,license,latest_stable_release_number,github_dependent_project_count,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,maven_url,maven_latest_release_published_at,go_id,github_release_downloads,go_url,go_latest_release_published_at,go_dependent_project_count,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,maven_dependent_project_count,conda_id,pypi_dependent_project_count,conda_url,conda_latest_release_published_at,conda_total_downloads,updated_github_id
0,True,eth,ETH - Ethereum,https://github.com/ethereum,Decentralized platform for applications. Applications build on it can use smart contracts - computer algorithms which..,smart-contract-platform,51,True,206128.0,2473.0,168064.0,31492915.333333336,56289.0,11844.0,3731.0,55297.0,6256.0,32961.0,334098.0,6851.0,2013-12-26 13:05:46,2022-02-16 18:48:53.000,2022-02-16 17:14:12,2022-02-16 12:27:58.000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,True,btc,BTC - Bitcoin,https://github.com/bitcoin,"Cryptocurrency and worldwide payment system. It is the first decentralized digital currency, as the system works..",cryptocurrency,49,True,96629.0,1798.0,89722.0,13288179.333333332,43545.0,6291.0,972.0,26693.0,2457.0,11035.0,316550.0,3282.0,2010-12-19 15:16:43,2022-02-16 17:55:07.000,2022-02-16 16:11:52,2022-02-11 02:51:54.396,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,True,dot,DOT - Polkadot,https://github.com/paritytech,Network protocol that allows arbitrary datanot just tokensto be transferred across blockchains. This means Polkadot is..,smart-contract-platform,44,True,47774.0,4035.0,12807.0,2274802.666666667,5484.0,1235.0,7601.0,23094.0,1061.0,7519.0,22055.0,1803.0,2016-08-15 09:30:15,2022-02-16 19:17:59.000,2022-02-16 17:32:56,2022-02-16 13:53:34.495,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,True,atom,ATOM - Cosmos,https://github.com/cosmos,"Decentralized network of independent parallel blockchains, each powered by BFT consensus algorithms like Tendermint..",cryptocurrency,43,True,48949.0,1404.0,15460.0,74650.00000000001,6497.0,1530.0,1776.0,23885.0,2390.0,13483.0,20727.0,2013.0,2010-03-23 17:05:00,2022-02-16 18:05:48.000,2022-02-16 17:36:50,2022-02-10 23:39:58.000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,True,sol,SOL - Solana,https://github.com/solana-labs,"Public blockchain. It is open-source and decentralised, and achieves consensus using a proof-of-stake algorithm..",smart-contract-platform,43,True,46633.0,13150.0,14284.0,2025576.6666666667,12800.0,838.0,2576.0,44990.0,4489.0,4516.0,14312.0,6936.0,2018-02-14 04:26:27,2022-02-16 18:10:17.000,2022-02-16 17:47:15,2022-02-16 17:07:21.343,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,True,uni,UNI - Uniswap,https://github.com/Uniswap,"Governance token for Uniswap, an Automated Market Market DEX on the Ethereum blockchain. The UNI token allows token..",amm,41,True,10464.0,515.0,12548.0,1241356.0,11190.0,925.0,346.0,3510.0,2213.0,2884.0,37524.0,540.0,2017-10-29 05:09:58,2022-02-16 17:57:44.000,2022-02-16 03:35:14,2022-02-16 12:11:02.000,1.0,['eth'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,True,stx,STX - Stacks,https://github.com/blockstack,New decentralized internet where users own their data and apps run locally. A browser portal is all thats needed to..,web3,40,True,37461.0,887.0,8697.0,256532.0,2247.0,986.0,653.0,5734.0,1464.0,9217.0,5541.0,657.0,2013-12-21 19:10:25,2022-02-16 18:39:10.000,2022-02-16 14:33:29,2022-02-09 16:01:43.000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,True,near,NEAR - Near,https://github.com/near,"Sharded, developer-friendly, proof-of-stake public blockchain, built by a world-class team that has built some of the..",smart-contract-platform,39,True,22039.0,1646.0,3676.0,1334071.3333333333,1393.0,523.0,476.0,12328.0,1754.0,4114.0,13574.0,801.0,2018-10-02 22:30:39,2022-02-16 19:19:51.000,2022-02-16 18:49:32,2022-02-16 09:27:36.000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,True,xch,XCH - Chia,https://github.com/Chia-Network,"Founded by Bram Cohen, the inventor of the BitTorrent network, Chia Network is building a better blockchain and smart..",smart-contract-platform,38,True,13663.0,490.0,12599.0,1005604.0,3165.0,845.0,353.0,4797.0,440.0,4332.0,1175.0,454.0,2017-12-16 02:08:28,2022-02-16 18:22:06.000,2022-02-16 16:01:04,2022-02-01 05:10:23.000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,True,xlm,XLM - Stellar,https://github.com/stellar,Open platform for building financial products that connect people everywhere. Stellar blockchain enables near instant..,cryptocurrency,37,True,22562.0,328.0,7705.0,306161.3333333334,3221.0,1000.0,722.0,9879.0,1279.0,5112.0,4988.0,794.0,2014-04-23 20:29:36,2022-02-16 18:19:13.000,2022-02-16 17:30:39,2022-02-07 16:47:48.000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
