,group,group_id,name,homepage,description,category,projectrank,show,commit_count,recent_commit_count,star_count,monthly_downloads,fork_count,watchers_count,release_count,pr_count,open_issue_count,closed_issue_count,dependent_project_count,contributor_count,created_at,updated_at,last_commit_pushed_at,latest_stable_release_published_at,projectrank_placing,labels,trending,github_id,npm_id,maven_id,github_url,license,latest_stable_release_number,github_dependent_project_count,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,maven_url,maven_latest_release_published_at,go_id,github_release_downloads,go_url,go_latest_release_published_at,go_dependent_project_count,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_monthly_downloads,maven_dependent_project_count,conda_id,pypi_dependent_project_count,conda_url,conda_latest_release_published_at,conda_total_downloads,updated_github_id
0,True,eth,ETH - Ethereum,https://github.com/ethereum,Decentralized platform for applications. Applications build on it can use smart contracts - computer algorithms which..,smart-contract-platform,52,True,206878.0,2437.0,171553.0,33946378.666666664,57951.0,11877.0,3782.0,55999.0,6380.0,33268.0,386484.0,6910.0,2013-12-26 13:05:46,2022-03-16 18:04:18.000,2022-03-16 18:04:13,2022-03-16 16:01:23.062,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,True,btc,BTC - Bitcoin,https://github.com/bitcoin,"Cryptocurrency and worldwide payment system. It is the first decentralized digital currency, as the system works..",cryptocurrency,50,True,97258.0,1654.0,90549.0,14537626.666666668,45214.0,6288.0,991.0,26969.0,2506.0,11128.0,356622.0,3297.0,2010-12-19 15:16:43,2022-03-16 17:57:31.000,2022-03-16 17:51:02,2022-03-15 12:01:01.000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,True,dot,DOT - Polkadot,https://github.com/paritytech,Network protocol that allows arbitrary datanot just tokensto be transferred across blockchains. This means Polkadot is..,smart-contract-platform,44,True,49012.0,3913.0,14944.0,2377123.333333333,5604.0,1243.0,7847.0,23847.0,1061.0,7716.0,22783.0,1849.0,2016-08-15 09:30:15,2022-03-16 19:15:15.000,2022-03-16 19:15:14,2022-03-16 04:39:20.256,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,True,atom,ATOM - Cosmos,https://github.com/cosmos,"Decentralized network of independent parallel blockchains, each powered by BFT consensus algorithms like Tendermint..",cryptocurrency,43,True,49833.0,1657.0,15427.0,75811.33333333333,6731.0,1552.0,1897.0,24707.0,2435.0,13810.0,21844.0,2079.0,2010-03-23 17:05:00,2022-03-16 18:09:42.000,2022-03-16 18:09:41,2022-03-15 14:57:51.000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,True,sol,SOL - Solana,https://github.com/solana-labs,"Public blockchain. It is open-source and decentralised, and achieves consensus using a proof-of-stake algorithm..",smart-contract-platform,43,True,49890.0,12709.0,14978.0,2379060.666666666,14431.0,838.0,3137.0,48658.0,5510.0,4937.0,16574.0,7927.0,2018-02-14 04:26:27,2022-03-16 18:01:28.000,2022-03-16 17:41:37,2022-03-15 05:43:17.168,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,True,uni,UNI - Uniswap,https://github.com/Uniswap,"Governance token for Uniswap, an Automated Market Market DEX on the Ethereum blockchain. The UNI token allows token..",amm,41,True,10651.0,491.0,13109.0,1221412.0,11954.0,942.0,351.0,3674.0,2295.0,2944.0,41601.0,560.0,2017-10-29 05:09:58,2022-03-16 17:53:19.000,2022-03-16 17:53:19,2022-03-16 12:14:42.000,1.0,['eth'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,True,stx,STX - Stacks,https://github.com/blockstack,New decentralized internet where users own their data and apps run locally. A browser portal is all thats needed to..,web3,39,True,37598.0,712.0,8749.0,252142.0,2273.0,996.0,656.0,5811.0,1515.0,9257.0,5635.0,663.0,2013-12-21 19:10:25,2022-03-16 18:01:34.000,2022-03-16 16:06:54,2022-03-16 15:17:00.000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,True,near,NEAR - Near,https://github.com/near,"Sharded, developer-friendly, proof-of-stake public blockchain, built by a world-class team that has built some of the..",smart-contract-platform,39,True,22369.0,1368.0,3846.0,1484198.0,1464.0,532.0,481.0,12595.0,1759.0,4230.0,16187.0,824.0,2018-10-02 22:30:39,2022-03-16 18:54:04.000,2022-03-16 18:23:06,2022-03-16 15:09:45.000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,True,xch,XCH - Chia,https://github.com/Chia-Network,"Founded by Bram Cohen, the inventor of the BitTorrent network, Chia Network is building a better blockchain and smart..",smart-contract-platform,38,True,14101.0,723.0,12762.0,1081584.0,3345.0,843.0,355.0,5147.0,588.0,4466.0,1248.0,465.0,2017-12-16 02:08:28,2022-03-16 18:35:19.000,2022-03-16 17:03:00,2022-03-08 22:41:22.000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,True,xlm,XLM - Stellar,https://github.com/stellar,Open platform for building financial products that connect people everywhere. Stellar blockchain enables near instant..,cryptocurrency,38,True,22665.0,340.0,7759.0,552190.6666666667,3234.0,1003.0,723.0,9995.0,1286.0,5145.0,5156.0,795.0,2014-04-23 20:29:36,2022-03-16 17:49:16.000,2022-03-16 17:05:20,2022-03-04 21:55:46.000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
