,group,group_id,name,homepage,description,category,projectrank,show,commit_count,recent_commit_count,star_count,monthly_downloads,fork_count,watchers_count,release_count,pr_count,open_issue_count,closed_issue_count,dependent_project_count,contributor_count,created_at,updated_at,last_commit_pushed_at,latest_stable_release_published_at,projectrank_placing,labels,trending,github_id,npm_id,maven_id,github_url,license,latest_stable_release_number,github_dependent_project_count,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,maven_url,maven_latest_release_published_at,cargo_id,github_release_downloads,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_monthly_downloads,maven_dependent_project_count,conda_id,pypi_dependent_project_count,conda_url,conda_latest_release_published_at,conda_total_downloads,updated_github_id
0,True,eth,ETH - Ethereum,https://github.com/ethereum,Decentralized platform for applications. Applications build on it can use smart contracts - computer algorithms which..,smart-contract-platform,53,True,207987.0,2196.0,178393.0,36572543.33333333,60507.0,11951.0,3967.0,57021.0,6270.0,33725.0,479870.0,7036.0,2013-12-26 13:05:46,2022-05-04 20:14:30.000,2022-05-04 20:14:30,2022-05-02 21:03:38.000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,True,btc,BTC - Bitcoin,https://github.com/bitcoin,"Cryptocurrency and worldwide payment system. It is the first decentralized digital currency, as the system works..",cryptocurrency,50,True,98717.0,2220.0,92533.0,15585880.0,45897.0,6333.0,1013.0,27580.0,2464.0,11317.0,427985.0,3330.0,2010-12-19 15:16:43,2022-05-04 17:57:57.000,2022-05-04 17:57:53,2022-05-04 03:40:59.947,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,True,sol,SOL - Solana,https://github.com/solana-labs,"Public blockchain. It is open-source and decentralised, and achieves consensus using a proof-of-stake algorithm..",smart-contract-platform,45,True,54815.0,9976.0,16496.0,3217512.6666666665,16538.0,867.0,3820.0,54476.0,6107.0,5347.0,20766.0,9256.0,2018-02-14 04:26:27,2022-05-04 18:03:34.000,2022-05-04 18:02:32,2022-05-04 10:04:21.875,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,True,atom,ATOM - Cosmos,https://github.com/cosmos,"Decentralized network of independent parallel blockchains, each powered by BFT consensus algorithms like Tendermint..",cryptocurrency,43,True,50883.0,1908.0,16423.0,88188.66666666669,7077.0,1570.0,1973.0,26104.0,2555.0,14254.0,24552.0,2166.0,2010-03-23 17:05:00,2022-05-04 18:10:34.000,2022-05-04 18:08:26,2022-05-02 20:01:03.855,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,True,dot,DOT - Polkadot,https://github.com/paritytech,Network protocol that allows arbitrary datanot just tokensto be transferred across blockchains. This means Polkadot is..,smart-contract-platform,43,True,51004.0,3729.0,14759.0,2251453.333333333,6000.0,1253.0,8181.0,25128.0,1091.0,8040.0,23873.0,1926.0,2016-08-15 09:30:15,2022-05-04 18:40:56.000,2022-05-04 17:14:17,2022-05-04 14:14:39.000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,True,uni,UNI - Uniswap,https://github.com/Uniswap,"Governance token for Uniswap, an Automated Market Market DEX on the Ethereum blockchain. The UNI token allows token..",amm,41,True,10868.0,463.0,14014.0,1504132.0,12732.0,959.0,364.0,3875.0,2482.0,3047.0,49138.0,576.0,2017-10-29 05:09:58,2022-05-04 16:31:19.000,2022-05-04 16:31:19,2022-05-03 12:17:23.000,1.0,['eth'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,True,near,NEAR - Near,https://github.com/near,"Sharded, developer-friendly, proof-of-stake public blockchain, built by a world-class team that has built some of the..",smart-contract-platform,40,True,23070.0,1212.0,4240.0,2207232.6666666665,1615.0,525.0,486.0,13177.0,1708.0,4359.0,22766.0,872.0,2018-10-02 22:30:39,2022-05-04 19:57:55.000,2022-05-04 18:42:39,2022-05-04 15:54:49.000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,True,xch,XCH - Chia,https://github.com/Chia-Network,"Founded by Bram Cohen, the inventor of the BitTorrent network, Chia Network is building a better blockchain and smart..",smart-contract-platform,39,True,14753.0,967.0,13142.0,1113077.3333333335,3422.0,840.0,363.0,5658.0,632.0,4628.0,1348.0,486.0,2017-12-16 02:08:28,2022-05-04 19:06:40.000,2022-05-04 14:24:55,2022-04-24 04:27:39.000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,True,stx,STX - Stacks,https://github.com/blockstack,New decentralized internet where users own their data and apps run locally. A browser portal is all thats needed to..,web3,39,True,38193.0,765.0,8830.0,232086.0,2321.0,985.0,667.0,5997.0,1556.0,9410.0,6015.0,676.0,2013-12-21 19:10:25,2022-05-04 17:13:09.000,2022-05-04 15:18:03,2022-05-03 16:11:59.000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,True,fil,FIL - Filecoin,https://github.com/filecoin-project,The Filecoin network achieves staggering economies of scale by allowing anyone worldwide to participate as storage..,web3,38,True,35065.0,1409.0,7042.0,100579.33333333333,3135.0,1035.0,1928.0,13787.0,1668.0,8238.0,1253.0,917.0,2017-12-05 18:41:10,2022-05-04 17:25:58.000,2022-05-04 17:21:17,2022-05-04 17:21:58.000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
