,group,group_id,name,homepage,description,category,projectrank,show,commit_count,recent_commit_count,star_count,monthly_downloads,fork_count,watchers_count,release_count,pr_count,open_issue_count,closed_issue_count,dependent_project_count,contributor_count,created_at,updated_at,last_commit_pushed_at,latest_stable_release_published_at,projectrank_placing,labels,trending,github_id,npm_id,github_url,license,latest_stable_release_number,github_dependent_project_count,npm_url,npm_latest_release_published_at,npm_monthly_downloads,maven_id,npm_dependent_project_count,maven_url,maven_latest_release_published_at,cargo_id,github_release_downloads,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_monthly_downloads,maven_dependent_project_count,conda_id,pypi_dependent_project_count,conda_url,conda_latest_release_published_at,conda_total_downloads,updated_github_id
0,True,eth,ETH - Ethereum,https://github.com/ethereum,Decentralized platform for applications. Applications build on it can use smart contracts - computer algorithms which..,smart-contract-platform,53,True,208914.0,2404.0,181837.0,39462930.66666667,61630.0,11994.0,3989.0,57723.0,6314.0,34120.0,534810.0,7112.0,2013-12-26 13:05:46,2022-06-01 18:59:12.000,2022-06-01 14:15:49,2022-06-01 01:41:49.000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,True,btc,BTC - Bitcoin,https://github.com/bitcoin,"Cryptocurrency and worldwide payment system. It is the first decentralized digital currency, as the system works..",cryptocurrency,50,True,99222.0,2122.0,93465.0,16877606.0,46207.0,6333.0,1023.0,27786.0,2444.0,11391.0,467884.0,3349.0,2010-12-19 15:16:43,2022-06-01 18:07:00.000,2022-06-01 17:18:36,2022-05-26 03:40:49.632,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,True,sol,SOL - Solana,https://github.com/solana-labs,"Public blockchain. It is open-source and decentralised, and achieves consensus using a proof-of-stake algorithm..",smart-contract-platform,46,True,57198.0,8657.0,17356.0,3499188.0000000005,17435.0,890.0,4150.0,57135.0,6373.0,5514.0,23410.0,9834.0,2018-02-14 04:26:27,2022-06-01 18:07:04.000,2022-06-01 18:00:10,2022-06-01 17:38:48.240,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,True,atom,ATOM - Cosmos,https://github.com/cosmos,"Decentralized network of independent parallel blockchains, each powered by BFT consensus algorithms like Tendermint..",cryptocurrency,43,True,51339.0,1759.0,16902.0,93054.0,7228.0,1596.0,1980.0,26903.0,2609.0,14491.0,26602.0,2203.0,2010-03-23 17:05:00,2022-06-01 18:07:37.000,2022-06-01 18:07:36,2022-05-26 16:16:44.000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,True,dot,DOT - Polkadot,https://github.com/paritytech,Network protocol that allows arbitrary datanot just tokensto be transferred across blockchains. This means Polkadot is..,smart-contract-platform,43,True,51982.0,3436.0,14994.0,2436031.3333333335,6298.0,1242.0,8339.0,25785.0,1269.0,8190.0,17115.0,1971.0,2016-08-15 09:30:15,2022-06-01 18:56:19.000,2022-06-01 14:54:54,2022-06-01 14:22:33.000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,True,uni,UNI - Uniswap,https://github.com/Uniswap,"Governance token for Uniswap, an Automated Market Market DEX on the Ethereum blockchain. The UNI token allows token..",amm,41,True,10923.0,365.0,14540.0,1652140.0,13181.0,985.0,368.0,3945.0,2608.0,3063.0,53202.0,589.0,2017-10-29 05:09:58,2022-06-01 18:09:30.000,2022-06-01 16:33:04,2022-06-01 15:40:23.000,1.0,['eth'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,True,near,NEAR - Near,https://github.com/near,"Sharded, developer-friendly, proof-of-stake public blockchain, built by a world-class team that has built some of the..",smart-contract-platform,40,True,23528.0,1254.0,4412.0,2418966.6666666665,1703.0,545.0,504.0,13588.0,1725.0,4415.0,26073.0,892.0,2018-10-02 22:30:39,2022-06-01 18:37:27.000,2022-06-01 18:37:18,2022-05-31 11:11:13.000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,True,xch,XCH - Chia,https://github.com/Chia-Network,"Founded by Bram Cohen, the inventor of the BitTorrent network, Chia Network is building a better blockchain and smart..",smart-contract-platform,39,True,15391.0,1362.0,13179.0,1401784.0,3428.0,872.0,368.0,5902.0,634.0,4726.0,1370.0,488.0,2017-12-16 02:08:28,2022-06-01 18:42:30.000,2022-06-01 17:56:11,2022-05-14 09:25:54.000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,True,stx,STX - Stacks,https://github.com/blockstack,New decentralized internet where users own their data and apps run locally. A browser portal is all thats needed to..,web3,39,True,38342.0,619.0,8868.0,223602.0,2342.0,977.0,686.0,6131.0,1558.0,9484.0,6144.0,685.0,2013-12-21 19:10:25,2022-06-01 18:33:06.000,2022-06-01 17:54:32,2022-06-01 15:48:54.534,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,True,fil,FIL - Filecoin,https://github.com/filecoin-project,The Filecoin network achieves staggering economies of scale by allowing anyone worldwide to participate as storage..,web3,38,True,35444.0,1148.0,7148.0,106842.66666666666,3182.0,1040.0,1939.0,13980.0,1598.0,8379.0,1283.0,934.0,2017-12-05 18:41:10,2022-06-01 18:09:22.000,2022-06-01 16:29:51,2022-06-01 15:48:34.000,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
