,group,group_id,name,homepage,description,category,projectrank,show,commit_count,recent_commit_count,star_count,fork_count,watchers_count,release_count,pr_count,open_issue_count,closed_issue_count,dependent_project_count,contributor_count,created_at,updated_at,last_commit_pushed_at,latest_stable_release_published_at,monthly_downloads,projectrank_placing,labels,trending,github_id,npm_id,maven_id,github_url,license,latest_stable_release_number,github_dependent_project_count,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,maven_url,maven_latest_release_published_at,cargo_id,github_release_downloads,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,go_id,go_url,go_latest_release_published_at,go_dependent_project_count,maven_dependent_project_count,pypi_id,pypi_url,pypi_latest_release_published_at,pypi_monthly_downloads,conda_id,pypi_dependent_project_count,conda_url,conda_latest_release_published_at,conda_total_downloads,updated_github_id
0,True,eth,ETH - Ethereum,https://github.com/ethereum,Decentralized platform for applications. Applications build on it can use smart contracts - computer algorithms which..,smart-contract-platform,53,True,212806.0,2177.0,195237.0,67374.0,12190.0,4148.0,61245.0,6675.0,35686.0,1392680.0,7492.0,2013-12-26 13:05:46,2022-10-26 17:59:51.000,2022-10-26 17:21:47,2022-10-26 17:24:01.349,44462243.33333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,True,btc,BTC - Bitcoin,https://github.com/bitcoin,"Cryptocurrency and worldwide payment system. It is the first decentralized digital currency, as the system works..",cryptocurrency,50,True,107198.0,1699.0,97095.0,47641.0,6337.0,1082.0,29218.0,2419.0,11925.0,655981.0,3485.0,2010-12-19 15:16:43,2022-10-26 18:00:58.000,2022-10-26 16:05:30,2022-10-25 04:45:29.317,19178891.333333332,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,True,sol,SOL - Solana,https://github.com/solana-labs,"Public blockchain. It is open-source and decentralised, and achieves consensus using a proof-of-stake algorithm..",smart-contract-platform,46,True,61580.0,1943.0,19329.0,19586.0,885.0,5188.0,62164.0,6908.0,6047.0,50470.0,10391.0,2018-02-14 04:26:27,2022-10-26 18:06:30.000,2022-10-26 17:04:01,2022-10-25 20:32:20.297,5214727.333333334,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,True,dot,DOT - Polkadot,https://github.com/paritytech,Network protocol that allows arbitrary datanot just tokensto be transferred across blockchains. This means Polkadot is..,smart-contract-platform,45,True,58876.0,3675.0,16013.0,7159.0,1269.0,8818.0,29569.0,1349.0,8930.0,79126.0,2255.0,2016-08-15 09:30:15,2022-10-26 19:08:21.000,2022-10-26 19:08:05,2022-10-26 13:30:48.000,2821337.333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,True,atom,ATOM - Cosmos,https://github.com/cosmos,"Decentralized network of independent parallel blockchains, each powered by BFT consensus algorithms like Tendermint..",cryptocurrency,44,True,52779.0,1810.0,18911.0,9983.0,1637.0,2058.0,31293.0,2842.0,15868.0,38123.0,2417.0,2010-03-23 17:05:00,2022-10-26 18:11:46.000,2022-10-26 17:36:39,2022-10-26 17:50:58.000,159792.6666666667,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,True,uni,UNI - Uniswap,https://github.com/Uniswap,"Governance token for Uniswap, an Automated Market Market DEX on the Ethereum blockchain. The UNI token allows token..",amm,42,True,11766.0,629.0,16510.0,15167.0,1075.0,431.0,5065.0,2973.0,3218.0,79481.0,656.0,2017-10-29 05:09:58,2022-10-26 18:05:48.000,2022-10-26 17:27:50,2022-10-26 16:17:55.327,2528042.0,1.0,['eth'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,True,near,NEAR - Near,https://github.com/near,"Sharded, developer-friendly, proof-of-stake public blockchain, built by a world-class team that has built some of the..",smart-contract-platform,41,True,26190.0,1313.0,5087.0,2057.0,562.0,573.0,15266.0,1696.0,4844.0,74146.0,1009.0,2018-10-02 22:30:39,2022-10-26 19:23:12.000,2022-10-26 17:56:06,2022-10-14 08:55:57.515,3938585.333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,True,xch,XCH - Chia,https://github.com/Chia-Network,"Founded by Bram Cohen, the inventor of the BitTorrent network, Chia Network is building a better blockchain and smart..",smart-contract-platform,39,True,19987.0,1564.0,13244.0,3536.0,1007.0,389.0,7830.0,541.0,5089.0,1608.0,522.0,2017-12-16 02:08:28,2022-10-26 18:48:44.000,2022-10-26 18:48:42,2022-10-06 20:14:01.178,1105491.3333333335,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,True,stx,STX - Stacks,https://github.com/blockstack,New decentralized internet where users own their data and apps run locally. A browser portal is all thats needed to..,web3,39,True,39406.0,580.0,9002.0,2487.0,980.0,709.0,6710.0,1541.0,9853.0,6475.0,707.0,2013-12-21 19:10:25,2022-10-26 19:16:09.000,2022-10-26 19:16:07,2022-10-26 19:16:10.000,299764.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,True,xlm,XLM - Stellar,https://github.com/stellar,Open platform for building financial products that connect people everywhere. Stellar blockchain enables near instant..,cryptocurrency,38,True,23621.0,326.0,8102.0,3492.0,1001.0,756.0,10785.0,1508.0,5426.0,6004.0,842.0,2014-04-23 20:29:36,2022-10-26 00:09:29.000,2022-10-25 15:02:01,2022-10-18 14:52:12.000,646408.6666666667,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
