,group,group_id,name,homepage,description,category,projectrank,show,commit_count,recent_commit_count,star_count,monthly_downloads,fork_count,watchers_count,release_count,pr_count,open_issue_count,closed_issue_count,dependent_project_count,contributor_count,created_at,updated_at,last_commit_pushed_at,latest_stable_release_published_at,projectrank_placing,labels,trending,github_id,github_url,license,latest_stable_release_number,github_dependent_project_count,github_release_downloads
0,True,eth,ETH - Ethereum,https://github.com/vyperlang,The foundation for our digital future.,smart-contract-platform,52,True,312177.0,6585.0,213415.0,327600.0,75564.0,13545.0,2175.0,77772.0,9179.0,38485.0,1502984.0,10756.0,2013-12-24 02:40:05,2023-02-08 18:04:06,2023-02-08 17:22:30,2023-02-08 14:35:29,1.0,,,,,,,,
1,True,btc,BTC - Bitcoin,https://github.com/bitcoinj,A Peer-to-Peer Electronic Cash System.,cryptocurrency,46,True,109854.0,1548.0,99554.0,4284.0,48167.0,6366.0,167.0,30165.0,2542.0,12277.0,755111.0,3566.0,2010-12-19 15:16:43,2023-02-08 18:03:27,2023-02-08 18:03:27,2022-12-21 14:10:47,1.0,,,,,,,,
2,True,dot,DOT - Polkadot,https://github.com/w3f,"Platform that allows diverse blockchains to transfer messages, including value, in a trust-free fashion; sharing their..",smart-contract-platform,46,True,110993.0,7010.0,33936.0,17478.0,13658.0,2709.0,1621.0,65430.0,4227.0,18508.0,260884.0,4447.0,2016-07-07 08:59:53,2023-02-08 18:13:34,2023-02-08 18:13:34,2023-02-07 18:22:07,1.0,,,,,,,,
3,True,sol,SOL - Solana,https://github.com/solana-labs,About Solana (SOL)? Solana (SOL) is a high throughput cryptocurrency based on the Proof of History (PoH) and Proof of..,smart-contract-platform,44,True,275801.0,1659.0,21297.0,82168.0,20736.0,957.0,451.0,64133.0,6675.0,6625.0,62896.0,16337.0,2018-01-20 13:49:36,2023-02-08 17:58:07,2023-02-08 17:40:49,2023-02-02 23:11:52,1.0,,,,,,,,
4,True,atom,ATOM - Cosmos,https://github.com/cosmos,"The Cosmos network consists of many independent, parallel blockchains, called zones, each powered by classical..",cryptocurrency,43,True,53325.0,2388.0,20413.0,19792.0,11136.0,1624.0,800.0,32093.0,2776.0,14595.0,43672.0,2556.0,2010-03-23 17:05:00,2023-02-08 18:10:17,2023-02-08 16:10:54,2023-02-07 12:24:13,1.0,['bsc'],,,,,,,
5,True,fil,FIL - Filecoin,https://github.com/filecoin-project,The Filecoin network achieves staggering economies of scale by allowing anyone worldwide to participate as storage..,web3,42,True,46383.0,1945.0,9753.0,78532.0,4397.0,1472.0,696.0,20341.0,3924.0,15363.0,7368.0,1317.0,2017-12-05 18:41:10,2023-02-08 18:33:04,2023-02-08 18:25:53,2023-02-08 16:17:28,1.0,,,,,,,,
6,True,snt,SNT - Status,https://github.com/status-im,Mobile operating system that will completely change the way the world interacts with the Ethereum network. Designed as..,web3,40,True,41034.0,1552.0,8792.0,1152.0,2053.0,1169.0,301.0,22716.0,1939.0,14169.0,8552.0,1941.0,2016-02-22 21:48:48,2023-02-08 18:54:10,2023-02-08 18:54:08,2023-01-30 17:28:53,1.0,['eth'],,,,,,,
7,True,ada,ADA - Cardano,https://github.com/input-output-hk,Decentralised platform that will allow complex programmable transfers of value in a secure and scalable fashion. It is..,smart-contract-platform,39,True,139815.0,4746.0,14774.0,6978.0,5119.0,2387.0,596.0,34498.0,2980.0,10218.0,110.0,2154.0,2015-12-22 17:38:21,2023-02-08 18:07:20,2023-02-08 17:50:48,2023-02-07 07:43:00,1.0,,,,,,,,
8,True,uni,UNI - Uniswap,https://github.com/Uniswap,"Governance token for Uniswap, an Automated Market Marker DEX on the Ethereum blockchain. The UNI token allows token..",amm,38,True,16711.0,957.0,23232.0,,17842.0,1224.0,178.0,7102.0,3741.0,3742.0,93448.0,893.0,2017-10-29 05:09:58,2023-02-08 18:29:13,2023-02-08 05:17:39,2023-02-08 12:11:54,1.0,['eth'],,,,,,,
9,True,near,NEAR - NEAR Protocol,https://github.com/near,Infrastructure for innovation.,smart-contract-platform,38,True,33132.0,1073.0,6040.0,398.0,2463.0,640.0,555.0,17292.0,2112.0,5433.0,124246.0,1141.0,2018-10-02 22:30:39,2023-02-08 18:06:12,2023-02-08 15:57:49,2023-02-08 13:19:54,1.0,['bsc'],,,,,,,
10,True,icp,ICP - Internet Computer,https://github.com/dfinity,Worlds first blockchain that is capable of running at web speed at unrestrictive capacities. Built by the DFINITY..,metaverse,38,True,29028.0,4021.0,4912.0,37956.0,1430.0,983.0,482.0,12500.0,977.0,1589.0,6848.0,851.0,2018-05-11 11:12:10,2023-02-08 18:32:29,2023-02-08 18:24:08,2023-02-08 17:58:19,1.0,,,,,,,,
11,True,xch,XCH - Chia,https://github.com/Chia-Network,"Founded by Bram Cohen, the inventor of the BitTorrent network, Chia Network is building a better blockchain and smart..",smart-contract-platform,37,True,20921.0,903.0,13255.0,54818.0,3565.0,980.0,263.0,8688.0,527.0,5355.0,1736.0,539.0,2018-07-06 18:29:20,2023-02-08 18:17:45,2023-02-08 04:19:24,2023-01-04 23:05:30,1.0,,,,,,,,
12,True,xlm,XLM - Stellar,https://github.com/stellar,"Open source, distributed, and community owned network used to facilitate cross-asset transfers of value. Stellar aims..",cryptocurrency,37,True,25113.0,384.0,8317.0,18240.0,3542.0,1074.0,741.0,12538.0,1710.0,5866.0,5830.0,892.0,2014-04-23 20:29:36,2023-02-08 18:20:36,2023-02-07 21:21:07,2023-02-08 17:47:40,1.0,,,,,,,,
13,True,eos,EOS,https://github.com/eosio,Blockchain built and run by the EOS Community. The EOSIO core development is now in the hands of the community:..,smart-contract-platform,37,True,49371.0,442.0,7237.0,5234.0,4685.0,1499.0,174.0,5166.0,838.0,1982.0,12151.0,1125.0,2017-05-04 15:11:36,2023-02-08 16:46:29,2023-02-08 13:29:35,2023-01-19 23:42:00,1.0,,,,,,,,
14,True,link,LINK - Chainlink,https://github.com/smartcontractkit,"Framework for building Decentralized Oracle Networks (DONs) that bring real-world data onto blockchain networks,..",web3,36,True,28363.0,770.0,25586.0,268.0,7286.0,1515.0,320.0,13353.0,638.0,1528.0,16262.0,611.0,2016-09-16 04:48:45,2023-02-08 18:20:57,2023-02-08 17:43:53,2023-02-08 17:46:49,1.0,['eth'],,,,,,,
15,True,twt,TWT - Trust Wallet Token,https://github.com/trustwallet,Trust Wallet Token (TWT) 511 is a utility token that can only be used within the app. This will be used to incentivize..,exchange-tokens,36,True,17693.0,259.0,7688.0,8602.0,19011.0,561.0,345.0,25194.0,102.0,2757.0,611.0,4119.0,2018-02-12 00:44:21,2023-02-08 18:52:31,2023-02-08 18:51:55,2023-02-07 06:11:25,1.0,['bsc'],,,,,,,
16,True,bnb,BNB,https://github.com/bnb-chain,Cryptocurrency of the Binance platform. It is a trading platform exclusively for cryptocurrencies. The name Binance is..,exchange-tokens,36,True,21404.0,320.0,7510.0,14266.0,3832.0,848.0,189.0,3235.0,687.0,1606.0,896.0,1215.0,2018-05-14 02:33:51,2023-02-08 13:56:12,2023-02-08 13:30:01,2023-01-06 19:48:28,1.0,,,,,,,,
17,True,miota,MIOTA - IOTA,https://github.com/iotaledger,Distributed ledger for the Internet of Things. The first ledger with microtransactions without fees as well as secure..,iot,36,True,51447.0,2226.0,6395.0,31156.0,1993.0,1024.0,802.0,20360.0,1544.0,7511.0,1802.0,889.0,2016-09-10 08:49:13,2023-02-08 18:04:07,2023-02-08 15:45:22,2023-02-08 13:51:53,1.0,,,,,,,,
18,True,luna,LUNA - Terra,https://github.com/terra-money,Terra 2.0 which will assume the Terra name is a new blockchain launched by Terraform Labs as part of the passing of..,others,36,True,12234.0,682.0,3257.0,10914.0,2399.0,619.0,239.0,3996.0,274.0,1183.0,2576.0,1113.0,2018-09-06 00:25:28,2023-02-08 17:00:51,2023-02-07 20:46:06,2023-02-07 17:43:03,1.0,,,,,,,,
19,True,grt,GRT - The Graph,https://github.com/graphprotocol,Indexing protocol and global API for organizing blockchain data and making it easily accessible with GraphQL...,web3,35,True,12154.0,343.0,4031.0,330.0,1493.0,348.0,370.0,5689.0,779.0,1938.0,30298.0,363.0,2018-04-19 07:13:50,2023-02-08 18:33:04,2023-02-07 17:43:56,2023-02-06 22:31:53,1.0,['eth'],,,,,,,
20,True,avax,AVAX - Avalanche,https://github.com/ava-labs,High throughput smart contract blockchainplatform. Validators secure the network through a proof-of-stake consensus..,others,35,True,26432.0,1109.0,3756.0,20146.0,1907.0,531.0,507.0,5336.0,557.0,982.0,1062.0,565.0,2019-12-31 00:09:18,2023-02-08 17:29:40,2023-02-08 16:52:24,2023-02-04 02:53:11,1.0,['avax'],,,,,,,
21,True,lsk,LSK - Lisk,https://github.com/LiskHQ,"Cryptocurrency launched in 2016. Lisk has a current supply of 144,818,773 with 128,900,444.52198455 in circulation...",smart-contract-platform,35,True,65738.0,1557.0,3710.0,21084.0,691.0,331.0,259.0,7118.0,538.0,8126.0,193.0,263.0,2016-02-01 21:45:35,2023-02-08 18:34:47,2023-02-08 13:59:56,2022-05-02 11:49:44,2.0,,,,,,,,
22,True,hnt,HNT - Helium,https://github.com/helium,Decentralized machine network powered by a physical blockchain. The network is created by gateways who also double as..,iot,35,True,18581.0,364.0,3321.0,351832.0,2137.0,1063.0,449.0,9218.0,1674.0,8154.0,95.0,734.0,2017-11-09 19:28:47,2023-02-08 18:21:50,2023-02-08 17:55:44,2023-02-07 21:10:41,1.0,,,,,,,,
23,True,algo,ALGO - Algorand,https://github.com/algorand,"Scalable, secure and decentralized digital currency and transactions platform.",cryptocurrency,35,True,12636.0,504.0,2813.0,3174.0,1501.0,238.0,331.0,7345.0,750.0,2586.0,8083.0,583.0,2018-10-09 17:10:16,2023-02-08 17:52:47,2023-02-08 14:57:56,2023-02-03 21:09:54,1.0,,,,,,,,
24,True,stx,STX - Stacks,https://github.com/stacks-network,Stacks brings Apps and Smart Contracts to Bitcoin. Apps built on Stacks inherit all of Bitcoins powers. They run their..,web3,34,True,30915.0,186.0,7415.0,7084.0,1811.0,767.0,207.0,4171.0,753.0,6001.0,5319.0,515.0,2014-03-03 20:47:02,2023-02-08 19:03:10,2023-02-05 04:23:57,2022-12-01 15:06:28,1.0,,,,,,,,
25,True,xrp,XRP,https://github.com/ripple,The Best Digital Asset for Global Payments.,cryptocurrency,34,True,28629.0,646.0,6628.0,352.0,3374.0,1185.0,343.0,8656.0,849.0,2076.0,2519.0,553.0,2011-11-07 04:40:15,2023-02-08 17:35:25,2023-02-08 17:35:25,2023-02-02 23:20:24,1.0,['bsc'],,,,,,,
26,True,trx,TRX - TRON,https://github.com/tronprotocol,What is Tron? Trons mission is to build a truly decentralized internet and aims to be the largest blockchain-based..,smart-contract-platform,34,True,31096.0,596.0,5564.0,3130.0,3277.0,719.0,140.0,5779.0,198.0,1828.0,2880.0,792.0,2017-12-26 10:20:38,2023-02-08 10:03:25,2023-02-07 07:50:30,2023-02-02 08:52:00,2.0,,,,,,,,
27,True,mplx,MPLX - Metaplex,https://github.com/metaplex-foundation,"Decentralized protocol for the creation, commerce and use of digital assets on the Solana blockchain. Metaplex..",others,34,True,4826.0,246.0,4955.0,2786.0,7956.0,157.0,128.0,3144.0,308.0,1907.0,8775.0,465.0,2021-05-26 02:36:25,2023-02-08 17:28:09,2023-02-08 17:28:09,2023-01-30 20:59:00,1.0,['sol'],,,,,,,
28,True,aleo,ALEO - aleo.org,https://github.com/AleoHQ,No description.,others,34,True,23404.0,856.0,4168.0,1918.0,1376.0,207.0,51.0,5516.0,497.0,1431.0,688.0,202.0,2018-08-15 06:46:37,2023-02-08 18:13:58,2023-02-08 00:02:36,2023-01-30 18:10:27,1.0,,,,,,,,
29,True,matic,MATIC - Polygon,https://github.com/maticnetwork,"Hybrid POS-Plasma Layer 2, bringing scale to Ethereum.",smart-contract-platform,34,True,24060.0,468.0,3088.0,2730.0,1937.0,592.0,247.0,3905.0,274.0,816.0,1921.0,1174.0,2017-08-05 15:23:46,2023-02-08 17:32:21,2023-02-08 12:50:19,2023-02-03 10:48:44,2.0,['eth'],,,,,,,
30,True,mana,MANA - Decentraland,https://github.com/decentraland,"Ethereum-powered virtual reality platform. In this virtual world, you purchase plots of land that you can later..",metaverse,34,True,17097.0,1076.0,2830.0,166.0,1570.0,586.0,913.0,11288.0,1343.0,5243.0,1581.0,487.0,2017-07-11 22:40:52,2023-02-08 18:35:51,2023-02-08 18:25:51,2023-02-08 16:04:39,1.0,['eth'],,,,,,,
31,True,neo,NEO,https://github.com/neo-project,Next generation smart economy platform (formerly Antshares) and Chinas first open source blockchain that was founded..,smart-contract-platform,34,True,11594.0,98.0,2703.0,93834.0,1966.0,466.0,238.0,6739.0,411.0,4160.0,615.0,561.0,2016-09-22 06:17:18,2023-02-08 04:20:54,2023-02-02 06:12:40,2023-01-19 17:54:54,2.0,,,,,,,,
32,True,dcr,DCR - Decred,https://github.com/decred,"Decred aims to build a community-directed digital currency whose security, adaptability, and sustainability make it a..",privacy-coins,34,True,27668.0,253.0,2605.0,27744.0,1583.0,473.0,300.0,14110.0,862.0,6873.0,286.0,866.0,2016-01-26 20:28:42,2023-02-08 18:05:44,2023-02-08 17:45:51,2022-12-19 22:24:59,1.0,,,,,,,,
33,True,ckb,CKB - Nervos Network,https://github.com/nervosnetwork,Layered crypto-economy network. Nervos separates the infrastructure of a crypto-economy into two layers: a..,metaverse,34,True,23694.0,394.0,2563.0,9914.0,758.0,322.0,351.0,9661.0,257.0,819.0,8855.0,306.0,2018-02-26 06:42:54,2023-02-08 12:34:28,2023-02-06 07:26:38,2023-01-31 13:44:31,1.0,,,,,,,,
